类别,书名,作者,价格,出版社,商家,简介
仙侠玄幻青春文学,绿物语（纪念版）：当当独家赠送日出的小太阳绘制大海报,镰足/力潮文创,28.00,世界知识出版社,自营,★ 《 绿物语 》 全网 断货多年，为 青春文学 作家 镰足 出道代表作。本次再版， 作者 逐字逐句 精心 修订 长达一年以上 。 ★ 书中含新序 堕落之绿 ， 另含全新章节和两则番外。 内容超值。 ★ 画师修大绿GREEN绘制封面，日出的小太阳绘制内封。 书内海量彩色插图 、丰富赠品。设计精美，纸质优良。
仙侠玄幻青春文学,万物风华录：一切有为法 独家印特签版 晋江神级作者非天夜翔 继 天宝伏妖录 定海浮生录 后 又一部东方奇幻巨作！“驱魔”,非天夜翔,44.00,广东旅游出版社,自营,暂无简介
仙侠玄幻青春文学,限量典藏版 斗破苍穹：下辑 16-30册 当当独家火晶卡纪念券 玄重尺款直尺 角色珍藏邮票样式贴纸,天蚕土豆,661.60,浙江文艺出版社,自营,★网络文学里程碑式作品，网文大神天蚕土豆代表作作品 点击量破亿，连载期间蝉联起点月票榜第一名，作品订阅数创下新纪录2017年 胡润原创文学IP价值榜 第一名2020年被国家图书馆永久典藏同名电影和电视剧已经上映，同名动画热播中 ★独家精修典藏版 独家版权，精心修订，去繁就简，不蔓不枝。精美礼盒，丰富赠品，别具一格，值得收藏。 ★使用同名动画素材制作的人物图鉴、书签、海报，还有其他丰富赠品 得到热播同名动画授权，使用同名动画的人物立绘和海报制作了丰富赠品，《斗破苍穹礼盒装》（上下）包括1套30张人物图鉴镭射套牌（逆向UV），2张《斗破苍穹》世界地图，30张人物立绘书签，2张同名动画海报，1本设定集，1本番外。 ★被改编成影视剧，同名动画热播中 同名电视剧2018年上映，同名电影2023年上映。同名动画正在热播中，其正片播
仙侠玄幻青春文学,司命 人气作家九鹭非香仙侠经典全新修订版，新增独家番外。 有你在，何处不是家，何处不繁花。 正版包邮,九鹭非香/酷威文化出品,27.60,江苏凤凰文艺出版社,哈尼兔图书专营店,暂无简介
仙侠玄幻青春文学,限量典藏版 斗破苍穹：上辑1-15册 当当独家火晶卡纪念券 玄重尺款直尺 角色珍藏邮票样式贴纸,天蚕土豆,661.60,浙江文艺出版社,自营,★网络文学里程碑式作品，网文大神天蚕土豆代表作作品 点击量破亿，连载期间蝉联起点月票榜第一名，作品订阅数创下新纪录2017年 胡润原创文学IP价值榜 第一名2020年被国家图书馆永久典藏同名电影和电视剧已经上映，同名动画热播中 ★独家精修典藏版 独家版权，精心修订，去繁就简，不蔓不枝。精美礼盒，丰富赠品，别具一格，值得收藏。 ★使用同名动画素材制作的人物图鉴、书签、海报，还有其他丰富赠品 得到热播同名动画授权，使用同名动画的人物立绘和海报制作了丰富赠品，《斗破苍穹礼盒装》（上下）包括1套30张人物图鉴镭射套牌（逆向UV），2张《斗破苍穹》世界地图，30张人物立绘书签，2张同名动画海报，1本设定集，1本番外。 ★被改编成影视剧，同名动画热播中 同名电视剧2018年上映，同名电影2023年上映。同名动画正在热播中，其正片播
仙侠玄幻青春文学,替嫁【作者印特签版】（《师妹》作者归山玉高分BE代表作，虐心催泪双向救赎，新增独家番外，“妖海太冷、太黑，她以后都不会来,归山玉/大鱼文化,38.60,江苏凤凰文艺出版社,自营,《师妹》作者 归山玉 高分BE代表作 新增3000字独家番外 灾星命 祝棠 傀儡身 温聿怀 虐心催泪 双向救赎 他为她以命换命，为她沉眠妖海。 我妻祝棠，无拘无缚。 妖海太冷、太黑，她以后都不会来了。 1.《师妹》作者归山玉shoubuBE虐文，晋江评分9.1，内容酸涩虐心，故事充满遗憾，读之落泪，各平台自来水推荐超多，读者评价真情实感。 2.灾星命祝棠 傀儡身温聿怀，两个被家族放弃的小苦瓜相互救赎，企图对抗命运，却再一次被天道捉弄 这世间的阴差阳错从未停歇。 3.封面采用230g印之光特种纸，书名采用烫亮黑金工艺，装帧精美。新增3000字独家番外，随书附赠精美赠品，物有所值。
仙侠玄幻青春文学,凡人修仙传 第一辑 全5册 杨洋主演同名电视剧原著小说实体书 仙侠玄幻青春文学当代小说畅销书籍 凡人流开山鼻祖网文大神忘,忘语,122.50,浙江文艺出版社,启点文化图书专营店,暂无简介
仙侠玄幻青春文学,莽荒纪1.赤明九天(当当独家限量签名版)《天天向上》热荐嘉宾！我吃西红柿 王者归来——逆天改命，唯有修仙！）,我吃西红柿,17.20,江苏文艺出版社,自营,神魔炼体天人合一人族少年横空出世！ 小千剑阵翼蛇大战燕山纪氏傲视乾坤！ 奇幻大神我吃西红柿王者归来 千万点击仙侠神作百万“红盟”齐荐起点各榜单第1名 在这里，与天地同斗，部落纷争、妖兽同行，仙魔隐现……历三灾九劫！ 浩瀚王朝里危机四伏，逆天改命，唯有修仙！
仙侠玄幻青春文学,剑来：第二辑（8-14）烽火戏诸侯继《雪中悍刀行》后又一经典之作！玄幻武侠不得不看的作品！胸中一点浩然气，天地千里快哉风,烽火戏诸侯,269.20,浙江文艺出版社,自营,《剑来》是网络大神烽火戏诸侯创作的古典仙侠小说，是继《雪中悍刀行》后*才情的全新力作。小说以宏伟的叙事、宏大的架构、宏富的想象力，讲述了一个平凡少年陈平安因缘际会之下走上修行之路，虽然经受了重重考验，但仍一直坚守善良初心，不断成长，*终成为绝顶剑侠的故事。不同年龄层的文学爱好者都可以在小说中得到共鸣。 在《剑来》构建的光怪陆离却丰富有趣的仙侠世界里，不仅充盈着具有中国古典传统的气韵和精神，更带有浓浓的入世救世思想，隐约呼应着中国历代儒家尤其是现当代新儒家探求救国自强之路的哲思。作者在小说中塑造的众多以陈平安为代表的人身上，寄予了 中国人格 ，隐动着精神上承继中华优秀传统而又体现当下社会的浮脉。小说徐徐展开的不仅是一步步的道山跋涉，更是忠孝、家国间的艰辛抉择，情与法难两全的伤痛，侠
仙侠玄幻青春文学,司命,九鹭非香/酷威文化,35.80,江苏凤凰文艺出版社,自营,★人气作家九鹭非香经典仙侠之作，全新修订版，新增独家 高甜 番外。 ★万龙遗孤VS天地司命，zui美的情话是： 若天待你不公，我便逆了这天又如何。 ★惹人醉爱的隽永长情，不是轰轰烈烈，而是回首处永远有他在。 ★下一世，等我喝过孟婆汤，走过奈何桥，忘记所有，你再来找我吧，我们重新开始。 ★随书特别附赠 古装无脸 画家呼葱觅蒜创意手绘卡。
