类别,书名,作者,价格,出版社,商家,简介
古代言情青春文学,朕和她（全2册）（新增独家番外！《东厂观察笔记》（《观鹤笔记》）作者，晋江总积分超20亿、点击量近千万——她与灯 古言虐,她与灯,69.60,北京联合出版有限公司,自营,★超人气作者她与灯 古言虐恋代表作、继《东厂观察笔记》（《观鹤笔记》）之后全网口碑爆品！ 她与灯：微博粉丝近15万 晋江高人气、总积分超20亿、点击量近千万 ★求生无路倾城伶人 X 乱世杀伐枭雄帝王 既起杀心，则刀落无悔，人行于世，莫不披血如簪花。皮开肉绽，心安理得。 我待你如春木谢江水，汲之则生，生之则茂，不畏余年霜。但愿你待我如江水过春木，长信前路，尽向东流，不必回头顾。 ★ 铜墙铁壁，可用干戈来破。 铜心铁魂，拿哪把刀杀进去呢？ 尊贵冷静的心，只有卑微惶恐的心才能够伤透。 软肉切铜骨，卑魄诛烈魂。 ★新增全新番外，随书附赠 席银亲笔信、印签卡、封面海报、明信片、书签
古代言情青春文学,朕和她：大结局（新增独家番外！晋江总积分超20亿、点击量近千万——《东厂观察笔记》（《观鹤笔记》）作者 她与灯 古言虐恋,她与灯/联合读创,34.80,北京联合出版有限公司,自营,★超人气作者她与灯 古言虐恋代表作、继《东厂观察笔记》（《观鹤笔记》）之后全网口碑爆品！ 她与灯：微博粉丝近15万 晋江高人气、总积分超20亿、点击量近千万 ★自尊自爱倾城伶人 X 狠戾孤绝枭雄帝王 我待你如春木谢江水，汲之则生，生之则茂，不畏余年霜。但愿你待我如江水过春木，长信前路，尽向东流，不必回头顾。 ★ 铜墙铁壁，可用干戈来破。 铜心铁魂，拿哪把刀杀进去呢？ 尊贵冷静的心，只有卑微惶恐的心才能够伤透。 软肉切铜骨，卑魄诛烈魂。 ★新增独家番外，随书附赠 席银亲笔信、珠光印签卡、封面海报、明信片、书签
古代言情青春文学,朕和她：大结局（新增独家番外！晋江总积分超20亿、点击量近千万——《东厂观察笔记》（《观鹤笔记》）作者她与灯古言虐恋代表,她与灯,42.50,北京联合出版有限公司,荷露茗图书专营店,★超人气作者她与灯——古言虐恋代表作、继《东厂观察笔记》（《观鹤笔记》）之后全网口碑爆品！ 她与灯：微博粉丝近15万 晋江高人气、总积分超20亿、点击量近千万 ★自尊自爱倾城伶人 X 狠戾孤绝枭雄帝王 “我待你如春木谢江水，汲之则生，生之则茂，不畏余年霜。但愿你待我如江水过春木，长信前路，尽向东流，不必回头顾。” ★ 铜墙铁壁，可用干戈来破。 铜心铁魂，拿哪把刀杀进去呢？ “最尊贵冷静的心，只有最卑微惶恐的心才能够伤透。” “软肉切铜骨，卑魄诛烈魂。” ★新增独家番外，随书附赠—— 席银亲笔信、珠光印签卡、封面海报、明信片、书签
古代言情青春文学,朕和她（全2册）（新增独家番外！《东厂观察笔记》（《观鹤笔记》）作者，晋江总积分超20亿、点击量近千万——她与灯 古言虐,她与灯,71.70,北京联合出版有限公司,荷露茗图书专营店,暂无简介
古代言情青春文学,【正版书籍 假一罚十】江山依旧（独家限量签名珍藏本 继《倾世皇妃》后慕容湮儿强势归来 历时两年倾心力作！流潋紫、瞬间倾城,慕容湮儿,14.80,２１世纪出版社,小叮当图书专营店,暂无简介
古代言情青春文学,【正版包邮】将进酒（共2册） 人气作家唐酒卿代表作，全新独家番外火热出炉！睚眦必报沈泽川 × 浪荡纨绔萧驰野！随书附赠精,唐酒卿/酷威文化出品,52.80,江苏凤凰文艺出版社,爱知图书专营店,暂无简介
古代言情青春文学,海晏河清4·便从麟阁上螭头（网络原名《再世权臣》，长佩金榜佳作，古风权谋经典代表作。新增独家番外）,天谢/欣欣向爱,54.80,长江出版社,自营,暂无简介
古代言情青春文学,【正版包邮】将进酒（共2册） 人气作家唐酒卿代表作，全新独家番外火热出炉！睚眦必报沈泽川 × 浪荡纨绔萧驰野！当当自营同,唐酒卿/酷威文化出品,52.80,江苏凤凰文艺出版社,西湖雨图书专营店,暂无简介
古代言情青春文学,海晏河清2 山河判断在笔尖 长佩金榜佳作 网络原名《再世权臣》 新增独家番外 随书附赠苏晏闪锡行程图+Q萌全家福贴纸+精,天谢/欣欣向爱,44.80,中南大学出版社有限责任公司,自营,暂无简介
古代言情青春文学,海晏河清3·风云万里会中天 （长佩金榜佳作，网络原名《再世权臣》，新增独家番外，随书附赠精美闪卡（7款随机一张）、全家福,天谢/欣欣向爱,49.30,长江出版社,自营,暂无简介
古代言情青春文学,海晏河清2 山河判断在笔尖 长佩金榜佳作 网络原名《再世权臣》 新增独家番外 随书附赠苏晏闪锡行程图+Q萌全家福贴纸+精,暂无作者信息,19.60,中南大学出版社有限责任公司,辽宁新华书店旗舰店,暂无简介
古代言情青春文学,海晏河清3·风云万里会中天 （长佩金榜佳作，网络原名《再世权臣》，新增独家番外，随书附赠精美闪卡（7款随机一张）、全家福,暂无作者信息,22.80,长江出版社,辽宁新华书店旗舰店,暂无简介
古代言情青春文学,海晏河清4·便从麟阁上螭头（网络原名《再世权臣》，长佩金榜佳作，古风权谋经典代表作。新增独家番外）,暂无作者信息,25.40,长江出版社,辽宁新华书店旗舰店,暂无简介
古代言情青春文学,海晏河清3·风云万里会中天 （长佩金榜佳作，网络原名《再世权臣》，新增独家番外，随书附赠精美闪卡（7款随机一张）、全家福,暂无作者信息,23.40,长江出版社,盛文新华书店旗舰店,暂无简介
古代言情青春文学,海晏河清3·风云万里会中天 （长佩金榜佳作，网络原名《再世权臣》，新增独家番外，随书附赠精美闪卡（7款随机一张）、全家福,暂无作者信息,23.40,长江出版社,北配新华书店旗舰店,暂无简介
古代言情青春文学,海晏河清3·风云万里会中天 长佩金榜佳作，网络原名《再世权臣》，新增独家番外，正版包邮,天谢/欣欣向爱出品,43.00,长江出版社,哈尼兔图书专营店,暂无简介
古代言情青春文学,海晏河清2·山河判断在笔尖（长佩金榜佳作，网络原名《再世权臣》，新增独家番外，随书附赠苏晏闪锡行程图+Q萌全家福贴纸+精,天谢,34.86,中南大学出版社有限责任公司,佳泽图书专营店,暂无简介
古代言情青春文学,海晏河清2·山河判断在笔尖（长佩金榜佳作，网络原名《再世权臣》，新增独家番外，随书苏晏闪锡行程图+Q萌全家福贴纸+精美闪,天谢,34.53,中南大学出版社有限责任公司,荷露茗图书专营店,暂无简介
古代言情青春文学,海晏河清3·风云万里会中天 （长佩金榜佳作，网络原名《再世权臣》，新增独家番外，随书附赠精美闪卡（7款随机一张）、全家福,天谢,38.36,长江出版社,佳泽图书专营店,暂无简介
古代言情青春文学,【正版书籍 假一罚十】海晏河清2 山河判断在笔尖 长佩金榜佳作 网络原名《再世权臣》 新增独家番外 随书附赠苏晏闪锡行程,天谢,36.80,中南大学出版社有限责任公司,小叮当图书专营店,暂无简介
古代言情青春文学,《一世缘起》 古风BE双女主小说，晋江人气作者[无心谈笑]倾泪之作，演绎极致虐心的师徒情缘。新增独家番外《终于相遇》。,无心谈笑,47.60,宁波出版社,佳泽图书专营店,暂无简介
古代言情青春文学,【正版书籍 假一罚十】《一世缘起》 古风BE双女主小说，晋江人气作者倾泪之作，演绎极致虐心的师徒情缘。新增独家番外《终于,无心谈笑,33.90,宁波出版社,小叮当图书专营店,暂无简介
古代言情青春文学,长宁将军（金榜作家蓬莱客《表妹万福》后又一古风权谋代表作。开疆拓土女将军VS忧国忧民摄政王，新增独家番外《与子偕老》。·,蓬莱客,62.50,青岛出版社,哈尼兔图书专营店,暂无简介
古代言情青春文学,坤宁（共2册）电视剧《宁安如梦》原著小说,时镜/酷威文化,79.20,江苏凤凰文艺出版社,自营,★金榜作家时镜全新古言力作，新增独家番外《青山遮不住》。 ★冷傲娇艳二小姐姜雪宁VS腹黑权谋帝师谢危，情不知所起，一往而深。 ★洗心怀，故人在。千山万里不与世，只为一人染红尘。 ★志不高，向不远。辨清白，奉至亲，得一隅，静观雨。如此而已。 ★愿尔明月长随，清风常伴，百忧到心尽开解，万难加身皆辟易。 ★随书附赠：山河万里屏风 字得其乐卡 居安印 精美书签。
古代言情青春文学,【限量特签版】《逢春》冬天的柳叶/著 赠送独家番外两篇继《掌欢》《韶光慢》《妙偶天成》后又一古言甜宠巨作古代言情小说,冬天的柳叶,56.84,重庆出版社,安徽新华书店旗舰店,暂无简介
古代言情青春文学,辟寒金 （蓬莱客全新古风代表作）,蓬莱客/酷威文化,61.20,四川文艺出版社,自营,★金榜作家蓬莱客全新古风力作，新增独家番外《情深》 ★杀伐决断的河西节度使谢长庚 VS天真柔善的长沙王女慕扶兰 ，此生，他独爱她一人，和她朝夕相对、白头偕老便是他的心愿。 ★不服辟寒金，哪得帝王心？不服辟寒钿，哪得帝王怜？ ★邂逅相遇，适我愿兮。邂逅相遇，与子偕臧。 ★随书附赠：婚帖 藏书票 精美书签
古代言情青春文学,长宁将军（金榜作家蓬莱客《表妹万福》后又一古风权谋代表作。开疆拓土女将军VS忧国忧民摄政王，新增独家番外《与子偕老》。·,蓬莱客,85.00,青岛出版社,自营,1.晋江金榜作家蓬莱客全新古风代表作 2.人生纵有遗憾，斗转星移，百代过客，这一刻，他的身边有她，足矣。 3.开疆拓土女将军VS权倾朝野摄政王 攻下南都之后，我十三岁那年见过的少年，我希望能等到他来。 4.山依旧好，昨日少年，今日却老。 5.他以天下为棋枰，上有宏图和大业。我是他枰上的棋子。但我愿意为他去做一个马前卒，心甘情愿。 6.双封面设计，外封大气水墨 磨砂UV，背封烫金。 7.新增出版独家番外《与子偕老》。
古代言情青春文学,山河不夜天(全2册),莫晨欢/酷威文化,70.20,江苏凤凰文艺出版社,自营,★新晋人气作家莫晨欢全新古风力作，古代权谋 官场基建。 ★特别放送独家番外《堂前燕》 金陵城，乌衣巷。一只新燕衔春泥，落入世家高堂上。 ★彩虹屁小能手唐景则 算无遗策的老狐狸王子丰。官场凶险，宦海浮沉，只要坚守本心，万事都不算难事。 ★我有一个梦，梦里有一座不夜城，它叫山河不夜天。我要令江山平，四海清，千年一瞬，朝天来歌！ ★瞬忽而至的天灾人祸，亟待改革的货币制度，党派林立的朝堂风云，虎视眈眈的北方辽国 天下兴亡，文人有志，匹夫有责，只有真正踏入这宦海之中，才有可能将毕生所学用之于天下，绘制一幅山河永昼的盛世长卷。 ★随书附赠作者手写体人物志 精美海报。
古代言情青春文学,锦衣玉令,姒锦,98.00,重庆出版社,自营,《锦衣玉令》讲述了女主角时雍（阿拾）是仵作宋长贵的女儿，一直跟着稳婆刘大娘出入市井，殓尸助产为生。一个突发的案件改变了她的人生。她被迫卷入一桩灭门案，认识了锦衣卫指挥使赵胤。两人一路相爱相杀，边谈恋爱边解谜，边看江山边说案，在经历了 水洗巷灭门案 、 沉默的青山镇 、 狗牙收集者 、 找不到的公主 、 漠北伤城 等一系列案件后
古代言情青春文学,妙偶天成,冬天的柳叶,69.80,重庆出版社,自营,★主线全新修订 赠送出版独家番外 ★阅文白金作家、起点女频超人气作家冬天的柳叶经典代表作 ★ 冬天的柳叶继《掌欢》《韶光慢》《似锦》后又一古言甜宠巨作 ★ 娇憨呆萌贵女 躺赢人生 偏执傲娇男主 深情追妻
古代言情青春文学,逢春,暂无作者信息,69.80,重庆出版社,自营,★主线全新修订 赠送独家番外两篇 ★阅文白金作家、起点女频超人气作家冬天的柳叶经典代表作 ★ 冬天的柳叶继《掌欢》《韶光慢》《妙偶天成》后又一古言甜宠巨作 ★ 聪慧果敢的猫女千金vs自我攻略的傲娇少年
古代言情青春文学,太子妃升职记2 公主上嫁记,鲜橙,33.00,作家出版社,自营,1、 现象级热播剧 《太子妃升职记》原著 续集， 同名影视剧由 乐漾 打造中。 2、本书 与《太子妃升职记：全新修订版》同步上市。《太子妃升职记》 原著小说以轻松幽默的故事和打动人心的爱情，多年来一直深受读者喜爱，人气、口碑居高不下 ， 是青春文学小说中原创性和独特性极强的作品。 3、 新增数万字番外，独家首发 。 5、 一线插画师 ENO独家绘制封面图，并邀知名设计师设计制作， 装帧精美。 6、 随书附赠 ENO手绘精美海报。 7、 随书附赠精美书签一枚。 8、 本书前传《阿麦从军：全新修订版》预计将于 5月上市！
古代言情青春文学,太子妃升职记 全新修订版,鲜橙,33.00,作家出版社,自营,1、现象级热播剧 《太子妃升职记》原著 ， 剧集播出时*日播放量过 2亿，总播放量超过39亿，小说网络点击总量过亿 ，拥有超高人气和口碑。 2、 本次出版时作者对全书精心修订，新增数万字番外，独家首发。 3、 随书附赠独家剧照卡片。 4、 随书附赠精美书签一枚。 5、 本书续集《太子妃升职记 2：公主上嫁记》同步出版，同名影视剧由 乐漾 打造中。 6、 本书前传《阿麦从军：全新修订版》计划于 5月上市。
古代言情青春文学,迷侠记（施定柔的武侠言情）,施定柔,35.80,浙江文艺出版社,自营,喜欢作者写的故事，在轻风细雨中，在薄薄云雾中，在飞雪漫天中，每个人都有属于自己的人生际遇，就像慕容无风和楚荷衣，就像唐潜和吴悠，就像慕容子忻和苏风沂，逃无可逃，避无可避。如何打破专属自己的舒适区，迎来与自己 共舞 之人，是要不断探究的课题，也是一项难题，这远比江湖风雨带来的震撼更大。 笔底有古龙的风致，书外有金庸的情怀，可能是 武侠年 的*杰出作品。此书出于女性作家之手，文字优美，笔力却雄浑。虽然是以武侠的方式写作一部言情小说，却能从人生的残缺和自我的寻找入手，令人震惊。 《新京报》 定柔笔下的江湖，宛如水墨画般飘逸灵动，既得古龙之神韵，更兼金庸之气势，塑造出令无数网络读者为之神迷不已的荷衣和无风两位传奇人物。定柔笔下的江湖，从古龙的另类里多添了几缕诧异和柔情。文笔云淡风清，开篇犹
古代言情青春文学,海晏河清5·摆撼鱼龙我自闲 完结篇 （网络原名《再世权臣》，长佩金榜佳作，古风权谋经典代表作）,天谢,54.80,长江出版社,自营,暂无简介
古代言情青春文学,金陵春,吱吱,128.00,重庆出版社,自营,★ 阅文集团白金作家吱吱经典代表作七周年典藏版！影视剧改编持续推进中，不容错过！ ★ 她是寄人篱下的周二小姐，他是睥睨红尘的程家四爷。如果不是机缘巧合，他可能终其一生都不知道程家的角落里有个如猫般令人心疼的小丫头！ ★ 貌美小白花女主 VS 清冷如谪仙腹黑男主。 ★ 随书赠送古风海报 明信片。
古代言情青春文学,天配良缘之商君(全二册）,浅绿,69.20,新世界出版社,自营,女扮男装的风华女子，巾帼不让须眉， 她为替父报仇，坚忍穿行在乱世红尘 她的绝世容貌、她的坚韧气概、 她的盖世武功、她谜一样的身份， 都令她身边的男子望尘莫及 桩桩、潇湘冬儿、秋夜雨寒 联袂推荐 !
古代言情青春文学,将门盛华：吾命为凰（2021年度阅文女频好书第一名，长期蝉联风云榜、月票榜冠军、随书附含两篇超长出版独家番外和镭射票、明,千桦尽落,89.80,重庆出版社,自营,★2021 年度阅文女频好书名 ，长期蝉联风云榜 月票榜冠军。全平台点击过亿，收藏破两百万，赠送两篇超长出版独家番外。 ★继千山茶客、天下归元、潇湘冬儿后一脉相承的 大女主权谋佳作 ，媲美《凤倾天阑》《将门嫡女之定乾坤》《特工皇妃楚乔传》的 女将传奇 。 ★巾帼不让须眉，彰显将门世家 家国情怀 ，女子亦可守家国。女主自强不息，铮铮铁骨，忠君爱国，继承祖父遗志，誓匡扶万民、平定天下。 ★运筹帷幄英姿飒爽女将军 儒雅沉稳胸有沟壑九王爷。不拘泥后宅争斗，妯娌和姐妹无勾心斗角
