类别,书名,作者,价格,出版社,商家,简介
大陆原创青春文学,锦夜:独家珍藏版小狮著春风文艺出版社9787531343325,暂无作者信息,19.37,春风文艺出版社,英典图书专营店,风头无两！绝版闪耀！《锦夜》畅销四十万册后霸气庆功结集《花火》主编小狮从业7年来首次跨界之作独木舟创作全新短篇力挺超值赠品海纳集合锋芒凛冽的少年群像：不惜一切执死守护，爱情梦想步步为营如果你冷，如果世界黑暗。化作火柴，寸寸为你焚燃，我也甘愿。
大陆原创青春文学,【特签版+搜书独家周边】别叫我恶魔：生如野草 番茄小说网金番作家弈青锋 巅峰榜高口碑热血之作,弈青锋,38.00,江苏凤凰文艺出版社,搜书图书专营店,暂无简介
大陆原创青春文学,【亲签版+搜书独家周边】别叫我恶魔：生如野草 番茄小说网金番作家弈青锋 巅峰榜高口碑热血之作,弈青锋,38.00,江苏凤凰文艺出版社,搜书图书专营店,暂无简介
大陆原创青春文学,《少说几句》 人气作者冰块儿燃情成长作品 新增独家番外《初夏》,冰块儿,38.60,广东旅游出版社,自营,卖点1 . 网络原名《少汪几句》 ， 作品数据位居 长佩 文学网 前5名 。 作者微博粉丝 69万 ，与读者 互动活跃 ，一直在为《少说几句》上市预热！ 卖点2. 内外双封，赠品超值 ，诚意之作！ 卖点3.收录作者 《初夏》 番外 ，内容与新书《理我一下》主角联动。 汪哲大狗狗人设深入人心， 与《阿也》同属于大火的校园 abo题材 ，十分吸引读者！
大陆原创青春文学,《少说几句》 人气作者冰块儿燃情成长作品 新增独家番外《初夏》冰块儿广东旅游出版社9787557025731,暂无作者信息,20.90,广东旅游出版社,墨香图书专营店,蒋少琰近期十分头疼。申请独居的公寓被塞进来一个大一新生汪哲，性子极其害羞，明明跟个性强势的自己是两个世界的人，却总想要增进同寝友谊。 蒋少琰拉下脸划清界限，偏偏校内、校外哪哪都能见到这个舍友，更没想到这个在他面前乖巧的不得了的舍友还有另一幅叛逆面孔。
大陆原创青春文学,万花世界1 鞠婧祎 领衔主演影视剧同名小说 改编自时代漫王 创作漫画 万渣朝凰 新增独家出版番外,一枚铜钱,32.80,北京联合出版有限公司,自营,★鞠婧祎 领衔主演影视剧同名小说 人气作者 一枚铜钱 改编 新增独家出版番外 ★改编自 时代漫王 创作漫画 《万渣朝凰》 穿越万千小世界， 绑定系统改写女配命运， 我自有我的善恶是非。 ★王牌执行者 苏绿夏 ，改写女配剧本 爱情往往是从名字开始，但我的爱情只属于任务完成度。 系统检测到女配怨气值达标，女配逆袭任务开启。 ★随书附赠 人设卡牌 6
大陆原创青春文学,《过人间》长佩人气作者公子优 倾力热血之作 新增近三千字独家番外,公子优,49.40,长江出版社,自营,卖点 1 ： 作者微博和网站有一定粉丝量，且已出版作品《你的距离》销量可观，本书是作者继《你的距离》后上市力作，获众多读者期待！ 卖点 2：预售前3分钟不限量亲签 随书印签； 卖点 3： 特殊装帧 超长封面 精美彩插 赠超值随书赠品！
大陆原创青春文学,夜幕之下 新增三千字独家番外《安卿鱼·鱼种实验》。,三九音域/磨铁文化出品,35.00,北京联合出版有限公司,博奥图书专营店,暂无简介
大陆原创青春文学,破晓将至（随书附赠海报1张+Q版拍立得2张+镭射门票1张+万余字独家番外）,路嘻法/天河世纪,2.70,长江出版社,辽宁音像出版社旗舰店,暂无简介
大陆原创青春文学,【正版书籍 假一罚十】《少说几句》 人气作者冰块儿燃情成长作品 新增独家番外《初夏》,冰块儿,18.00,广东旅游出版社,小叮当图书专营店,暂无简介
大陆原创青春文学,野火（已经见过野火，这一路就不算黑。 晋江高人气青春文学作家云拿月又一力作！新增出版独家番外！） 正版包邮,云拿月/悦读纪,47.50,青岛出版社,哈尼兔图书专营店,暂无简介
大陆原创青春文学,天官赐福：全三册【印特签版】,墨香铜臭/磨铁文化,199.00,广东旅游出版社,自营,★墨香铜臭，全球知名畅销作家，著有《人渣反派自救系统》《魔道祖师》《天官赐福》，晋江专栏收藏数高达百万，作品横跨四大洲翻译出版美、日、韩、德、法、俄、越、泰、巴等十多个版本，多次创下国内作品的海外销售记录。其作品风格浪漫，情感强烈，独具个性，令万千读者极具共鸣，久久不忘，引发海内外阅读热潮。 ★《天官赐福》雄踞晋江文学城销售金榜近三年，积分破400亿，收藏破200万，评论破200万，霸王票全站第一。泰、越、日、韩等版本数次登顶当地畅销榜首，四登纽约时报畅销榜。 ★全文修订版，全球首发！正文新增数万字全新内容，独家首发近万字新番外 出版后记（内含作者手写内容） 每册作者手写特别寄语印签。双封设计，内含24P彩插，还原书中众多名场面。裸脊锁线装订，双面书盒收纳，内文精选80G岳阳楼胶版纸，细腻
大陆原创青春文学,夜幕之下.2：凡尘神域,三九音域/磨铁文化,33.00,北京联合出版有限公司,自营,★网络原名《我在精神病院学斩神》，番茄小说网高人气作品，口碑作者三九音域成名之作，200多万人在读，100多万读者在线点评，均分9.8，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附4P精美彩插，使用128g铜版纸印刷；随书赠品丰富多样，含诸神精神病院院长镭射卡*1 诸神精神病院护工镭射卡*4（护工编号001-004） 湿婆怨 折页信纸*1 凡尘神域 藏书票*1。 ★新增三千字独家番外《百里胖胖 胖胖还乡》。 ★若黯夜终临，吾必立于万万人前，横刀向渊，血染天穹！ ★大夏境内，神明禁行！
大陆原创青春文学,失冬季 十清杳又一青春BE美学力作 高人气作者十清杳青春BE美学新作！ 年度bi读虐心暗恋现言！ 新增千字出版独家番外,十清杳,38.00,江苏凤凰文艺出版社,搜书图书专营店,暂无简介
大陆原创青春文学,失冬季 十清杳又一青春BE美学力作 高人气作者十清杳青春BE美学新作！ 年度bi读虐心暗恋现言！ 新增千字出版独家番外,十清杳,38.01,江苏凤凰文艺出版社,一本爱阅图书旗舰店,暂无简介
大陆原创青春文学,南城青林 晋江双女主青春逐梦人气作品；讨酒的叫花子致敬梦想代表作；知性风姐姐何青柔VS清冷系妹妹 林奈。敬你们，敬梦想，,讨酒的叫花子,38.50,长江出版社,哈尼兔图书专营店,暂无简介
大陆原创青春文学,失冬季 十清杳又一青春BE美学力作 高人气作者十清杳青春BE美学新作！ 年度bi读虐心暗恋现言！ 新增千字出版独家番外,十清杳,38.01,江苏凤凰文艺出版社,楚洹文化图书旗舰店,暂无简介
大陆原创青春文学,【正版包邮】夜幕之下.6：神祸降临 《我在精神病院学斩神》系列书第6册实体书出版更名《夜幕之下.6：神祸降临》，实体书新,三九音域/磨铁文化出品,40.60,北京联合出版有限公司,爱知图书专营店,暂无简介
大陆原创青春文学,【正版包邮】【正版包邮】全知读者视角.2（末世+悬疑+无限流——韩国现象级国民小说、奇幻网文 TOP！简体中文版独家授权,singNsong/磨铁文化出品,42.60,国际文化出版公司,西湖雨图书专营店,暂无简介
大陆原创青春文学,【正版书籍 假一罚十】恰逢雨连天·终结篇（沉筱之口碑之作，继《琅琊榜》后不可不看的权谋群像古言，新增独家番外《云中谁寄锦,沉筱之,33.00,青岛出版社,小叮当图书专营店,暂无简介
大陆原创青春文学,【正版书籍 假一罚十】万花世界1 鞠婧祎 领衔主演影视剧同名小说 改编自时代漫王 创作漫画 万渣朝凰 新增独家出版番外,一枚铜钱,39.40,北京联合出版有限公司,小叮当图书专营店,暂无简介
大陆原创青春文学,夜幕之下,三九音域/磨铁文化,33.00,北京联合出版有限公司,自营,★网络原名《我在精神病院学斩神》，番茄小说网高人气作品，口碑作者三九音域成名之作，240万人在读，110万读者点评，均分9.8，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附4P精美彩插，使用128g铜版纸印刷；随书赠品丰富多样，含赵空城档案卡 林七夜小书签 诸神精神病院护工合同 合同收纳档案袋。 ★新增三千字独家番外《安卿鱼 鱼种实验》。 ★若黯夜终临，吾必立于万万人前，横刀向渊，血染天穹！ ★大夏境内，神明禁行！
大陆原创青春文学,夜幕之下.3：深红夜幕,三九音域/磨铁文化,33.00,北京联合出版有限公司,自营,★网络原名《我在精神病院学斩神》，番茄小说网高人气作品，口碑作者三九音域成名之作，200多万人在读，100多万读者在线点评，均分9.8，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附4P精美彩插，使用128g铜版纸印刷；随书赠品丰富多样，含夜幕小队队员人物卡*4 酆都生人入城护身符券*1 百里集团董事长任命书*1。 ★新增三千字独家番外《江洱 江洱通灵》。 ★若黯夜终临，吾必立于万万人前，横刀向渊，血染天穹！ ★大夏境内，神明禁行！
大陆原创青春文学,夜幕之下.7：神陨乐章（番茄小说网高人气作品《我在精神病院学斩神》，口碑作者三九音域成名之作）,三九音域/磨铁文化,35.80,北京联合出版有限公司,自营,★网络原名《我在精神病院学斩神》，番茄小说网高人气作品，口碑作者三九音域成名之作，站内最高高达500多万人在读，100多万读者在线点评，均分9.8，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附4P精美彩插，使用128g铜版纸印刷；随书赠品丰富多样，含大夏神明卡*4 乌托邦观光门票*1 乌泉拍立得*1。 ★新增三千字独家番外《昆仑炼兵》。 ★若黯夜终临，吾必立于万万人前，横刀向渊，血染天穹！ ★大夏境内，神明禁行！
