类别,书名,作者,价格,出版社,商家,简介
热血/成长青春文学,有海 人气作者初禾青春成长代表作 独家未公开番外 与畅销作品《心狂》系列主角首次互动 附赠精美周边初禾,初禾,15.00,北京联合出版有限公司,聚赢科技图书专营店,叶小船在凄风苦雨的童年生出了坚实的心墙，独有单桥一次次出手挽救，给他保留了一份纯真和信任，也成为他一直追逐的生命之光。两人的重逢让命运再次交织…… 你是我的牵挂，我是你的依靠。
热血/成长青春文学,有海 人气作者初禾青春成长代表作 独家未公开番外 与畅销作品《心狂》系列主角首次互动 附赠精美周边初禾,初禾,15.00,北京联合出版有限公司,墨趣书刊图书专营店,叶小船在凄风苦雨的童年生出了坚实的心墙，独有单桥一次次出手挽救，给他保留了一份纯真和信任，也成为他一直追逐的生命之光。两人的重逢让命运再次交织…… 你是我的牵挂，我是你的依靠。
热血/成长青春文学,有海 人气作者初禾青春成长代表作 独家未公开番外 与畅销作品《心狂》系列主角首次互动 附赠精美周边,初禾,33.12,北京联合出版有限公司,荷露茗图书专营店,暂无简介
热血/成长青春文学,晚潮（人气作者七小皇叔【拍拍宇宙】三部曲实体首发；共这晚，看浪潮。温婉翩翩配音新秀向挽VS清冽果敢配音前辈晁新。新增独家,七小皇叔/欣欣向爱,52.00,长江出版社,自营,暂无简介
热血/成长青春文学,顾楠的上下两千年1+2+完结篇 全套 非玩家角色 网络原名穷鬼的上下两千年 实体书新增三千字独家番外登州来客 幻想小说磨,暂无作者信息,,暂无出版商,梓原图书专营店,暂无简介
热血/成长青春文学,顾楠的上下两千年1+2+完结篇 全套 非玩家角色 网络原名穷鬼的上下两千年 实体书新增三千字独家番外登州来客 幻想小说磨,非玩家角色,116.50,中国友谊出版公司,梓原图书专营店,暂无简介
热血/成长青春文学,顾楠的上下两千年1+2+完结篇 全套 非玩家角色 网络原名穷鬼的上下两千年 实体书新增三千字独家番外登州来客 幻想小说磨,非玩家角色,113.00,中国友谊出版公司,人天书店旗舰店,★网络原名《穷鬼的上下两千年》，非玩家角色成名之作，起点中文网高口碑、高人气作品，收藏30w ，各大图书博主热推作品！ ★特邀设计师纯设水墨远山，画面呈现效果极佳，精致高级；4P典藏彩插，采用90g画萱，触感细腻，纸质厚实；另赠 顾楠五问语录卡 。 ★陷阵之志，有死无生。 ★这万家灯火，没有一盏是她的。
热血/成长青春文学,顾楠的上下两千年1+2+完结篇 全套 非玩家角色 网络原名穷鬼的上下两千年 实体书新增三千字独家番外登州来客 幻想小说磨,暂无作者信息,112.80,中国友谊出版公司,徐州文乐图书专营店,暂无简介
热血/成长青春文学,顾楠的上下两千年1+2+完结篇 非玩家角色 网络原名穷鬼的上下两千年 实体书新增三千字独家番外登州来客 幻想小说磨铁正版,非玩家角色,113.00,中国友谊出版公司,蔚蓝图书专营店,★网络原名《穷鬼的上下两千年》，非玩家角色成名之作，起点中文网高口碑、高人气作品，收藏30w ，各大图书博主热推作品！ ★特邀设计师纯设水墨远山，画面呈现效果极佳，精致高级；4P典藏彩插，采用90g画萱，触感细腻，纸质厚实；另赠 顾楠五问语录卡 。 ★陷阵之志，有死无生。 ★这万家灯火，没有一盏是她的。
热血/成长青春文学,晚潮（人气作者七小皇叔【拍拍宇宙】三部曲实体首发；共这晚，看浪潮。温婉翩翩配音新秀向挽VS清冽果敢配音前辈晁新。新增独家,七小皇叔/欣欣向爱出品,45.00,长江出版社,哈尼兔图书专营店,暂无简介
热血/成长青春文学,晚潮（人气作者七小皇叔【拍拍宇宙】三部曲实体首发；共这晚，看浪潮。温婉翩翩配音新秀向挽VS清冽果敢配音前辈晁新。新增独家,七小皇叔,36.40,长江出版社,佳泽图书专营店,暂无简介
热血/成长青春文学,【正版书籍 假一罚十】顾楠的上下两千年1+2+完结篇 全套 非玩家角色 网络原名穷鬼的上下两千年 实体书新增三千字独家番,非玩家角色,112.80,中国友谊出版公司,小叮当图书专营店,暂无简介
热血/成长青春文学,请勿靠近【印特签版】（网络原名《禁区》；人气作家空菊张力满满的双强之作；高智商金融从业者×图书管理员。）,空菊/欣梦享,27.40,广东旅游出版社,自营,1.网络原名《禁区》，人气作家 空菊 张力满满的双强之作。 2.人设立体饱满，极具张力。 江迟景，面容清秀的监狱图书管理员，实际上却是个狠人；郑明弈，高智商金融从业者，被冤枉而入狱，武力值惊人，却有阅读障碍和喜欢做草莓 当这样的两个人相遇，注定是一场精彩的较量。 3.增加全新未曝光番外1则 独家小剧场3则，给故事一个更丰富的延续。 4.装帧亮点满满，超高品质。 外封采用相机镜头模切工艺，加上草莓元素，暗合文中 偷窥 和 草莓 情节； 内封采用蛛网元素，暗流涌动的氛围拉满； 在正文前设置了大拉页，完美呈现 禁区 经典场面； 还特别设计4款彩色图文印特签，随机发货一款。 5.随书赠品丰富： 独家放送小剧场X1 人设卡X2 草莓园 明信片X1 草莓酱制作方法 折立卡X1 莓 好生活书签X1
