类别,书名,作者,价格,出版社,商家,简介
穿越/重生青春文学,一品仵作 典藏版 凤今,凤今,59.00,青岛出版社,自营,1、古风悬疑巅峰之作《一品仵作》实体书典藏版诚挚奉上！潇湘书院年度古言悬疑代表作品，入选潇湘书院经典必读书单，被读者誉为 古言探案巅峰之作 。 2、全书完整收录网络版经典内容，特别新增独家出版番外，深度揭秘步惜欢帝王心术与暮青情感蜕变，番外情节首度公开，极具收藏价值。 3、人设极致碰撞：冷面专业现代女法医vs千面腹黑隐忍帝王。她执验尸刀剖尽天下冤屈，他以江山为棋守护一人理想。 4、经典语录摘录： ① 世间不愿依附男子的女子，心比天高。 ② 此生你想为之事，我都会成全。 5、实体书装帧精美，随书附赠：名场面海报X1，特制人物藏书票X1、书签X1。
穿越/重生青春文学,一品仵作·完结篇 典藏版 凤今,凤今,59.00,青岛出版社,自营,1、古风悬疑巅峰之作《一品仵作 完结篇》实体书典藏版诚挚奉上！潇湘书院年度古言悬疑代表作品，入选潇湘书院经典必读书单，被读者誉为 古言探案巅峰之作 。 2、全书圆满收录网络版大结局，特别增录独家出版番外。 3、人物关系走向成熟稳定，从并肩作战到共主山河。 她从仵作成长为母仪天下的皇后，初心不改；他从隐忍帝王蜕变为可为她倾覆江山的夫君。双强最终合一，共掌天下，共守一生。 4、经典语录摘录： ① 人生步步是岔路，一步踏错便是一生之失。 ② 死生契阔，与子成说。执子之手，与子偕老。 5、实体书装帧设计与曲风格统一，随书附赠：海报X1，藏书票X1、完结纪念书签X1。
穿越/重生青春文学,天上有棵爱情树+小女花不弃（套装组合买二赠一）当当独家赠送桩桩畅销作品《女人现实，男人疯狂》,桩桩,51.70,暂无出版商,自营,一个是西地太子阵兵天河，意欲强娶的精灵仙姬； 一个是现代好“色”的美院调皮少女。 十世轮回，瞬间交错—— 身份？学历？哦，还有原来的那点情债…… “百变故事女王”桩桩转型力作 新派穿越小说畅销系列佳品 浅绿、潇湘冬儿、风行烈、安知晓、墨舞碧歌、天下归元、莫言殇、转身等联袂推荐 爱情是什么？它是一种魔咒吗？如果不是，为什么它可以让人笑，让人哭，让人觉得甜蜜，又让人觉得心疼呢？时空改变了一个人的生活，却改变不了一个人的宿命，这一切都是因了爱情吧！那么，请记住：*好的爱，不是禁锢，而是成全！ 2011年悦读纪重磅推出“新穿越”小说系列，掀起了一股新穿越小说阅读热潮！新系列小说以其人物的个性化（如法医、特警、特工、穿二代等），故事的独特化（探案、剿匪、战争、盗墓、盗
穿越/重生青春文学,救赎剧本 上卷 晋江金榜作者从温成名作,从温,29.90,湖南文艺出版社,自营,玄幻轻喜剧，爆笑修真界。 神经大条小师妹 救赎 全员反派同门 虞阙拿的是救赎宗门的剧本，操的是拯救世界的心。 别人是一对一救赎，虞阙师门上下，救赎对象连人带狗，足足五个！ 虞阙表示：这个救赎文女主角，我当定了！ 1、 晋江 金榜 作者 从温 成名作 ，网络原名《我以为我拿的救赎剧本》，25万 收藏，33亿 积分，霸榜晋江金榜。 2、 精美随书赠品 ：（1）修真界版大富翁 X1；（2）玄铁令留影 2 3、 装帧亮点： 内外双封，线装裸脊，180 平摊，翻阅体验升级。外封山峦模切，翻转包边设计，虞阙看似和小师兄遥遥相望，实则近在咫尺。 4、 收录 出版独家 3000字 番外 一则 ，解锁新的精彩内容。 5、爆笑沙雕不正经修仙小说，师门群像，不正经修仙，另类救赎，全员反派、画风跑偏，笑点密集，处处是梗。
穿越/重生青春文学,宫锁心玉(杨幂、冯绍峰领衔主演同名古装穿越大戏，新增跌宕情节+独家精彩番外，演绎全新结局，随书赠送限量“宫”主题贺卡·悦,于正,34.30,江苏文艺出版社,自营,杨幂、冯绍峰、何晟铭、佟丽娅领衔主演同名古装穿越大戏 新增跌宕情节 独家精彩番外，演绎全新结局，再创纸上传奇 那段著名的 九子夺嫡 ，会因现代女孩晴川的从天而降而改变轨迹吗？ 金牌编剧于正首推、芒果台屡次刷新收视**的 宫 系列**季 随书赠送限量 宫 主题贺卡 时空交错的奇遇，是欢喜，也是考验。万里晴空皆因晴川。 心之所向，缘未尽然。即使面对纷争与背叛，也要许你一世温柔。 凶险宫斗，惊天谋略，跨越时间的爱恋，不离不弃的情愫，明知结局仍奋起抗争的勇敢 确实， 穿越是一场太过美好的梦，只有真心的人才能前往一游。 金牌编剧、制片人于正的作品《宫》系列，分为两部，**部是《宫锁心玉》，由杨幂、冯绍峰、何晟铭等明星演绎，已掀起了芒果台的收视狂潮；第二部是《宫锁珠帘》，穿越
穿越/重生青春文学,《错嫁良缘4海盗千金》（全二册）,浅绿,41.20,江苏文艺出版社,自营,1.《错嫁良缘4海盗千金》是年度*畅销古言作品。该系列 错嫁良缘 三部曲累计销量已达50万册，长期占据中国内地、台湾畅销排行榜。本书是浅绿继 错嫁良缘 三部曲后，酝酿创作的令万千读者翘首期盼的 穿二代 故事。 2.续集由《错嫁良缘4海盗千金》《错嫁良缘5燎越追凶》《错嫁良缘6真假公主》构成，将掀起新一轮阅读热潮。作品人物鲜活，情节精彩，画面感极强，成为近年来影视界*炙手可热改编的小说。 3.作品延续了错嫁良缘1和错嫁良缘2酣畅淋漓的叙事风格，节奏明快，人物鲜活，读之令人大快朵颐，大呼过瘾。 4.一场意外赌约，一个八卦奇谜，三段精彩旅程由此开启！《错嫁良缘4海盗千金》讲述了聪颖果敢的将军府夫人顾云的女儿夙素孤身独闯唤狼岛的故事。她斗海盗，解奇谜，收萌宠，邂逅属于自己的爱情，故事依旧精彩纷呈。 《错嫁良缘之洗
穿越/重生青春文学,错嫁良缘系列套装（全5册）,浅绿,74.70,北方妇女儿童出版社,自营,独家赠送《错嫁良缘续1海盗千金》试读本。浅绿经典代表作，近五年来*畅销、*好看的穿越小说！ 错嫁良缘系列**部《错嫁良缘之洗冤录》 现代法医穿越古代断案，让人大开眼界，目瞪口呆！ 腹黑丞相眷恋傲酷女主，竟然缠绵不绝，柔情似水！ 破案+言情，年度*令人期待的傲酷与柔情大戏！ 错嫁良缘系列第二部《错嫁良缘之一代军师》 女特警穿越成古代女军师，断案、练兵、夜袭、剿匪、巷战、反恐、海战轮番上演，让人热血沸腾，与大将军冰与火的情感较量波澜起伏，笑料百出，让人忍俊不禁。黄金八卦盘*终现身，女军师到底会如何抉择？让我们翘首以待。 错嫁良缘系列第三部《错嫁良缘之后宫疑云》 蜗牛绿历时三年精心打造“错嫁良缘”三部曲，*令人期待的穿越大戏。该系列引爆中国内地、台湾，受万千读者追捧
穿越/重生青春文学,东都岁时记（上中下三册）,写离声,84.30,浙江文艺出版社,自营,本书以两晋为背景进行架空创作，人物个性鲜明，情节跌宕起伏，对白生动有趣，风土人情与社会习俗细致考究。既有对古代才子佳人日常生活的细致入微、生动有趣的描摹，也有对波谲云诡、刀枪剑影的政争和战争的宏阔描写。巧妙地道出了两晋门阀政治和分封制度的诸多弊端。所以此书不仅仅具有女频小说的一些优秀特质，还具有历史演义小说的一些表征。本书在晋江网上得到了众多读者的好评，并被晋江网评为2017年度盘点优秀作品，是一部名副其实的古言佳作。
穿越/重生青春文学,庆余年套装（陈道明、张若昀等主演电视剧原著小说第二季） 全三册 龙椅在上+悬空之刺+江南钦差,猫腻,92.40,人民文学出版社,自营,暂无简介
穿越/重生青春文学,庆余年套装（1-6）,暂无作者信息,184.80,人民文学出版社,自营,字斟句酌 苦心修订 国内简体版独家授权人民文学出版社出版 猫腻封神之作 一经连载点击量达数千万 大型电视连续剧 根据同名小说改编
