类别,书名,作者,价格,出版社,商家,简介
跨界作者,杨洋 羊毛典藏 2016,暂无作者信息,36.00,独家,书海图书专营店,暂无简介
跨界作者,青春有你（当当独家9张手机屏保图）李汶翰李振宁姚明明管栎嘉羿胡春杨夏瀚宇陈宥维何昶希,青春有你/节目组,46.90,湖南文艺出版社,自营,1. 官方授权 《青春有你》图文写真集由爱奇艺 官方 正版 授权，独家收录台前幕后的精彩瞬间及 9位出道训练生的写真照片。 2. 成长记录 这不仅仅是一部写真集，更是一部青春成长全纪录。在书中我们将会看到每个训练生的成长，见证他们因为努力而越来越优秀。 3. 粉丝参与创作 首本由粉丝参与创作的图书， 爱奇艺文学、《青春有你》节目组、欣欣向爱联合首次 全网征文 ，收录粉丝亲笔创作书写偶像的文字，这是一份送给所有粉丝的礼物。 4. 好看好玩 不仅可以看，还可以玩，读者可亲自体验《青春有你》赛程，从训练生成长为新青年。 5. 制作装帧精美 采用 双封设计 ， 套封 包装， 裸背锁线装订 ，封面采用特种纸250g出色映画、内文采用特种纸100g出色宝莱印刷，手感细腻，色彩精美，值得永久收藏。 6. 赠品丰富 包
跨界作者,《新还珠格格》官方独家授权写真集（限量版）,暂无作者信息,83.20,湖南人民出版社,自营,《新还珠格格》 官方独家制授权写真集 冠冕珍藏版图文影像写真三本全收录限量豪华礼盒 湖南卫视跨别13载 再度重磅出击演绎“还珠”神话 全民关注 协同今夏暑期档钜作 电视剧《新还珠格格》7月16日在湖南卫视金鹰剧场全球首播，《新还珠格格》全记录全彩写真集同步上市！ 《新还珠格格》全记录?全彩写真集+《*爱格格》新还珠爱情影像模范书 +《格格来了》首个纸上综艺节目+亲笔签名海报 超多独家官方赠品： 官方独家《新还珠格格》剧情写真海报 官方独家张睿、李佳航签名青春现代装写真海报 官方独家李晟、海陆、李佳航、班杰明、麦迪娜、路宏、孙耀琦、签名青春现代装明信片 全球热恋价：99元
跨界作者,下一站·哥本哈根,落落/安东尼/陈晨/琉玄,24.60,长江文艺出版社,自营,《下一站哥本哈根》作为 下一站 系列的第八本作品，一如既往地延续了该系列华美的设计感与浓厚的人文气息，超人气作家的豪华阵容，匠心独具的版面设计，共同构建出一场关于旅行的华丽阅读盛宴。这是一场冒着彩色气泡的童话之旅，也是一次与北欧设计之都的艺术邂逅。郭敬明首次为 下一站 系列作序，权威参与全程选题策划，再显犀利吐槽狠辣毒舌。 校园女王 落落， 治愈系小王子 安东尼，超人气作者陈晨，谜之美少年（女）琉玄，一同结伴踏上了这次浪漫艺术之旅，并在哥本哈根留下了宝贵的回忆。他们用*细腻温柔的文笔，和清新唯美的摄影，生动地诠释了这次难忘旅途。
跨界作者,来得及（讲述青春记忆与生命感悟 众多文艺大咖共同分享青春故事 随书附赠电影《栀子花开》定制主创明信片2张，随机获赠独家海,何炅,25.30,湖南美术出版社,自营,暂无简介
跨界作者,无与伦比 : 周杰伦天台电影导览手册（中国大陆独家首发，视觉盛宴，先睹为快！）,周杰伦,31.20,北京联合出版公司,自营,周杰伦第二部自编自导自演《天台》电影导览手册，中国大陆首发，视觉盛宴，先睹为快！周杰伦**导演电影全纪录写真图文，百幅剧照完美还原《天台》影片台前幕后精彩故事。电影剧照首度集结，官方授权，独家写真！7.11歌武生平 欢迎观影！
跨界作者,欧豪：正当我年少（当当独家特供签名章+精美海报一张！仅限10000册！售完为止！）(90后正能量人气偶像欧豪首本图文随笔,欧豪,29.90,译林出版社,自营,这是90后年轻偶像中**正能量人气王欧豪的首本图文随笔集。 书中收录欧豪百余张精美照片，欧豪首次大方分享成长过程当中的苦与乐， 从对亲情的眷恋，到对爱情的理解，与对梦想的追求， 他希望能够通过自己的故事，鼓励到每一个迷茫的年轻人，去做*好的自己！
跨界作者,锋芒（当当独家双封面海报版）,暂无作者信息,35.10,长江文艺出版社,自营,暂无简介
跨界作者,别太想我哦!东瀛纪行／关东篇（当当独家［抢先版］ 加送精美珍藏书签 限量15000套 售完为止）,武艺,35.50,湖南文艺出版社,自营,【 关于图书还可预订的说明 】 因后期有部分购买者取消预订，本书还有少量库存，会在五一期间释放预售。请午饭们周知。 另，本书和正式版相比独家赠送了带有印刷版签名的精美书签。 ********************************* 无法复制的旅行日志，值得追寻的精彩路线 “如果说这个世上有什么事情，比美少年的旅行更加感人，那就是美少年的梦， 错过它，就再也找不到更多挽留时间的理由 ” 这些梦我们都曾经有过，可真正实践了的又有几个？ “闻得到咖啡香的古书街，寄存了好奇心的美术馆 在霓虹的铁塔等待夕阳，借一把雨伞去黑色沙滩 在江之电的车厢里做了一个梦 梦里见到的那个人 和你很像哦” 在旅行中收获的人间际遇，便是*好的手信 要相信“ 做自己喜
跨界作者,发现新大陆 （王大陆新书，3张当当独家明信片+5张精美明信片+大幅精美海报）,王大陆,40.90,九州出版社,自营,暂无简介
