类别,书名,作者,价格,出版社,商家,简介
轻小说,独家甜蜜 男主大人的陷阱即将开启 请小心 校园爱情女王 米米拉 全新力作 恶毒 女配角的逆袭之旅 青春文学爱情言情小说书,暂无作者信息,19.40,江苏凤凰文艺出版社,翰林中天图书专营店,暂无简介
轻小说,新版正版【赠独家赠品】刀剑神域小说 全套31册 1-25册+进击篇1-6册川原砾青春动漫游戏冒险刀剑神域小说畅销书动漫轻,川原砾,980.70,浙江人民美术出版社,晖文锦绣图书专营店,暂无简介
轻小说,独家专宠,暂无作者信息,24.07,贵州人民出版社,浙江省新华书店旗舰店,暂无简介
轻小说,【磨铁官方】青山看我应如是 小说 长佩文学人气作品 静水边 古风奇幻新书 新增独家番外 青春文学古言情实体书 磨铁图书,暂无作者信息,29.40,广东旅游出版社,金色书缘图书专营店,暂无简介
轻小说,【赠帆布袋】王小波全集（共15册） 王小波小说、杂文、书信等作品全收录 精装典藏 独家授权 一祇特立独行的猪 李银河审定,暂无作者信息,823.44,北京十月文艺,凯胜图书专营店,暂无简介
轻小说,期待在地下城邂逅有错吗8 日本轻小说历史上的奇迹,大森藤ノ,15.00,北京时代华文书局,自营,《期待在地下城邂逅有错吗》是软银旗下的GA文库在2013年推出的战斗轻小说。自从MF文库J被角川集团收购以来，角川集团已经垄断了93%的轻小说市场份额。特别是战斗类别的轻小说，角川旗下的电击文库有着压倒性的优势。但是，没有人想到从2013年发售开始，直至2018年1月期间。《期待在地下城邂逅有错吗》的表现可以称为强势，超过了角川集团的大部分作品。如今发行卷数16本，累计销量超过1200万册，位列轻小说历史销量榜的前十。2015年，《期待在地下城邂逅有错吗》首次迎来动画化，长度为一个季度。在动画化期间，女主赫斯缇雅的着装升级为热点，胸下的蓝色缎带引领了当时的风潮，而且获得了2015年动画流星语大赏的银赏。如今，剧情越发精彩，动画也推进到了第三期。 该书自从问世以来，曾经三次入围《这本轻小说真厉害》的前十位。在强大的剧情与
轻小说,酸梅(附全新独家番外),黄三,23.78,江苏凤凰文艺出版社,搜书图书专营店,暂无简介
轻小说,酸梅(附全新独家番外),黄三,30.00,江苏凤凰文艺出版社,翰林中天图书专营店,暂无简介
轻小说,新版正版【赠独家赠品】刀剑神域小说 全套35册1-27册+进击篇1-8册川原砾青春动漫游戏冒险刀剑神域小说畅销书动漫轻小,暂无作者信息,1344,浙江人民美术出版社,晖文锦绣图书专营店,暂无简介
轻小说,藏拙,伊水十三,10.78,四川文艺出版社,浙江省新华书店旗舰店,暂无简介
轻小说,被风吸引:全2册,暂无作者信息,15.48,江苏凤凰文艺出版社,浙江省新华书店旗舰店,暂无简介
轻小说,退役中单想打职业.2,暂无作者信息,13.47,广东旅游出版社,浙江省新华书店旗舰店,暂无简介
轻小说,贪光,暂无作者信息,27.54,长江出版社,浙江省新华书店旗舰店,暂无简介
轻小说,"新锐法医.2,迷雾",吕吉吉,23.44,孔学堂书局,浙江省新华书店旗舰店,暂无简介
轻小说,【翟潇闻周柯宇主演同名剧原著】树下有片红房子 青春群像小说 青梅竹马 暖甜治愈 体育生vs学霸,小格,30.49,时代文艺出版社,浙江省新华书店旗舰店,暂无简介
轻小说,踩着星星奔向你,暂无作者信息,22.25,中国致公出版社,浙江省新华书店旗舰店,暂无简介
轻小说,小情窦:全2册,暂无作者信息,23.22,江苏凤凰文艺出版社,浙江省新华书店旗舰店,暂无简介
