类别,书名,作者,价格,出版社,商家,简介
青春校园文学,独家甜蜜,米米拉,10.32,天津人民,浙江出版集团图书专营店,暂无简介
青春校园文学,独家记忆木浮生 著云南人民出版社9787222069732,木浮生,5.00,云南人民出版社,曼新图书专营店,《记忆》是著名言情小说作家木浮生的新长篇新作。 A大英语系的大三女生薛桐一次考试作弊未遂，被“可爱的”青年教师慕承和抓到，从此两人结下“不解之缘”。先是慕老师来做俄语选修课的代课老师，薛桐被叫去补课，令她恨意又增。然而慢慢发现慕老师是一个非常有魅力有内涵的老师……此后，薛同学一直在慢慢发展心中的暗恋，用一句古诗来说就是“山有木兮木有枝，心悦君兮君不知”。 直到薛桐毕业，在工作和家庭经历一些故事学习长大，更多了解了彼此的过往将来，那朦胧遮蔽的暗恋情愫才得挑去，两人幸福地走到了一起。 本书作者以清新的笔触描绘了一份校园女生青涩的暗恋，年少时明媚的时光，遇到一份暖暖的爱。在淡淡的叙述中，让人恍惚似重回校园一般，不禁回忆起藏在心底初的爱恋与悸动，跟随轻松的故事情节，勾起恋恋不舍的情怀。
青春校园文学,独家记忆木浮生 著云南人民出版社9787222069732,暂无作者信息,5.00,云南人民出版社,墨趣书刊图书专营店,《记忆》是著名言情小说作家木浮生的新长篇新作。 A大英语系的大三女生薛桐一次考试作弊未遂，被“可爱的”青年教师慕承和抓到，从此两人结下“不解之缘”。先是慕老师来做俄语选修课的代课老师，薛桐被叫去补课，令她恨意又增。然而慢慢发现慕老师是一个非常有魅力有内涵的老师……此后，薛同学一直在慢慢发展心中的暗恋，用一句古诗来说就是“山有木兮木有枝，心悦君兮君不知”。 直到薛桐毕业，在工作和家庭经历一些故事学习长大，更多了解了彼此的过往将来，那朦胧遮蔽的暗恋情愫才得挑去，两人幸福地走到了一起。 本书作者以清新的笔触描绘了一份校园女生青涩的暗恋，年少时明媚的时光，遇到一份暖暖的爱。在淡淡的叙述中，让人恍惚似重回校园一般，不禁回忆起藏在心底初的爱恋与悸动，跟随轻松的故事情节，勾起恋恋不舍的情怀。
青春校园文学,独家记忆,木浮生,4.93,云南人民出版社,中领文轩图书专营店,《独家记忆》是著名言情小说作家木浮生的最新长篇新作。 A大英语系的大三女生薛桐一次考试作弊未遂，被“可爱的”青年教师慕承和抓到，从此两人结下“不解之缘”。先是慕老师来做俄语选修课的代课老师，薛桐被叫去补课，令她恨意又增。然而慢慢发现慕老师是一个非常有魅力有内涵的老师……此后，薛同学一直在慢慢发展心中的暗恋，用一句古诗来说就是“山有木兮木有枝，心悦君兮君不知”。 直到薛桐毕业，在工作和家庭经历一些故事学习长大，更多了解了彼此的过往将来，那朦胧遮蔽的暗恋情愫才得挑去，两人幸福地走到了一起。 本书作者以清新的笔触描绘了一份校园女生青涩的暗恋，年少时最明媚的时光，遇到一份暖暖的爱。在淡淡的叙述中，让人恍惚似重回校园一般，不禁回忆起藏在心底最初的爱恋与悸动，跟随轻松的故事情节，勾起恋恋不舍
青春校园文学,独家甜蜜米米拉 著天津人民出版社9787201122977,米米拉,11.00,天津人民出版社,墨香图书专营店,田小甜的乌鸦嘴功力，让方圆几十里的人都敬而远之，某天她在梦里看了一本漫画，漫画里的炮灰女配角名字和她一模一样，甚至也有个叫菜心的好朋友！炮灰女配角和她的好友在漫画里拆散有情人，喜欢上男主角，构陷女主角，后不得善终！田小甜本以为这一切都是一场梦，直到她转入新学校，遇到了那个恶魔般的男主角……
青春校园文学,独家甜蜜 天津人民出版社,米米拉,12.70,天津人民出版社,四川新华书店教育专营店,暂无简介
青春校园文学,独家甜蜜 米米拉 著,米米拉,13.50,天津人民出版社,文轩网旗舰店,暂无简介
青春校园文学,"独家甜蜜,天津人民出版社【新华书店总店旗舰店】",米米拉,8.78,天津人民出版社,新华书店总店旗舰店,暂无简介
青春校园文学,独家记忆 木浮生 著 云南人民出版社,木浮生,15.20,云南人民出版社,佰拓图书专营店,《独家记忆》是著名言情小说作家木浮生的最新长篇新作。 A大英语系的大三女生薛桐一次考试作弊未遂，被“可爱的”青年教师慕承和抓到，从此两人结下“不解之缘”。先是慕老师来做俄语选修课的代课老师，薛桐被叫去补课，令她恨意又增。然而慢慢发现慕老师是一个非常有魅力有内涵的老师……此后，薛同学一直在慢慢发展心中的暗恋，用一句古诗来说就是“山有木兮木有枝，心悦君兮君不知”。 直到薛桐毕业，在工作和家庭经历一些故事学习长大，更多了解了彼此的过往将来，那朦胧遮蔽的暗恋情愫才得挑去，两人幸福地走到了一起。 本书作者以清新的笔触描绘了一份校园女生青涩的暗恋，年少时最明媚的时光，遇到一份暖暖的爱。在淡淡的叙述中，让人恍惚似重回校园一般，不禁回忆起藏在心底最初的爱恋与悸动，跟随轻松的故事情节，勾起恋恋不舍
青春校园文学,记忆,木浮生,17.80,云南人民出版社,兜兜图书专营店,本书是著名言情小说作家木浮生的**长篇新作。A大英语系的大三女生薛桐一次考试作弊未遂，被“可爱的”青年教师慕承和抓到，从此两人结下“不解之缘”。先是慕老师来做俄语选修课的代课老师，薛桐被叫去补课，令她恨意又增。然而慢慢发现慕老师是一个非常有魅力有内涵的老师……此后，薛同学一直在慢慢发展心中的暗恋，用一句古诗来说就是“山有木兮木有枝，心悦君兮君不知”。直到薛桐毕业，在工作和家庭经历一些故事学习长大，更多了解了彼此的过往将来，那朦胧遮蔽的暗恋情愫才得挑去，两人幸福地走到了一起。
青春校园文学,独家记忆,木浮生,19.80,云南人民出版社,畅想悦读图书专营店,《记忆》是言情小说作家木浮生的新长篇新作。A大英语系的大三女生薛桐一次未遂，被“可爱的”青年教师慕承和抓到，从此两人结下“不解之缘”。先是慕老师来做俄语选修课的代课老师，薛桐被叫去补课，令她恨意又增。然而慢慢发现慕老师是一个很有魅力有内涵的老师……此后，薛同学一直在慢慢发展心中的暗恋，用一句古诗来说就是“山有木兮木有枝，心悦君兮君不知”。直到薛桐毕业，在工作和家庭经历一些故事学习的长大，更多了解了彼此的过往将来，那朦胧遮蔽的暗恋情愫才得挑去，两人幸福地走到了一起。本书作者以清新的笔触描绘了一份校园女生青涩的暗恋，年少时明媚的时光，遇到一份暖暖的爱。在淡淡的叙述中，让人恍惚似重回校园一般，不禁回忆起藏在心底初的爱恋与悸动，跟随轻松的故事情节，勾起恋恋不舍的情怀。一个是调皮可爱的
