类别,书名,作者,价格,出版社,商家,简介
青春爱情文学,独家占有Ⅰ丁墨 著三秦出版社9787551806831,丁墨,5.00,三秦出版社,聚赢科技图书专营店,单纯善良的地球女孩华遥，某一天被外星王子穆弦掳走，成为他的未婚妻。华遥并不喜欢这个强势英俊的青年军人，但具有兽族血统的穆弦，对爱情和婚姻绝对忠贞，非她不娶。两人在战争中逐渐磨合，彼此了解，华遥也慢慢接受了穆弦。这时她也知道，穆弦并非随意从地球掳走一个女孩，而是在年少时便对她一见钟情……两人婚礼前夕，雇佣军战争爆发，两人与死对头雇佣军指挥官易浦城一起跌入某颗荒芜小行星，然后随着三人在行星上斗智斗勇，却发觉这颗行星的真相，并非如他们所想……
青春爱情文学,独家宠爱总攻大人江苏文艺出版社9787539973166,总攻大人,5.00,江苏文艺出版社,墨趣书刊图书专营店,"所谓银行家，就是晴天把伞硬塞给你，下雨天又狠狠收回去的人。 一场扑朔迷离的""出轨""绯闻，将从美国华尔街归来的金融大鳄邓雅淳与失婚大提琴家封絮拉到了一起。 第一眼，他给她的感觉就像法国大餐，精致、完美，处处透着奢华。 他应该是松露、鹅肝和鱼子酱的完美结合。 而她则像是苹果白兰地，让他初品时只觉微辣，呛过后又觉微甜。 他想再品一口，回味那种留在齿颊的清甜。 ""邓雅淳，我想问问你，银行家的日常是什么？"" ""数钱？"" ""不，不够详细。"" ""难不成是在瑞士某个疗养院的躺椅上看夕阳吗？"" ""我觉得躺在躺椅上看夕阳是精神病院才有的日常。"" ""那是半身不遂的老年人的日常。"" 一场因""丑闻""而产生的悬殊爱情，但他许下承诺，会给她无以伦比的宠爱。 ""无关地位，无关他人，只因我爱你，就要和你在一起，这是我对你的执着，从开始到永"
青春爱情文学,独家心动阮绵绵 著花山文艺出版社9787551122238,暂无作者信息,4.90,花山文艺出版社,墨香图书专营店,橡山路7号。 来之前，余今惜想，里面哪怕是龙潭虎穴她也要闯。 到之后，余今惜想，算了，还是洗洗睡吧，因为里面真的有老虎！ 余今惜原本胆小怕事，为了弄清父亲失踪之谜，遇见了一个将猛兽和炸弹玩弄于股掌的男人。 捧过硝化甘油，按过老虎腿，在棺材底下贡献了初吻……她的勇气都是被他激发出来的。 这是一场全情投入的危险游戏，她问他：你敢不敢，陪我一起走？ 过千座城，涉万里路，遇过太多人，秦风朗的眼睛可以媲美一台专业测谎仪。 无知无畏的余今惜在某些时刻把命交给了他，这是多大的信任？ 他回答：有何不敢？但既然要走，就一起走到老！
青春爱情文学,独家占有Ⅱ丁墨 著百花洲文艺出版社9787550006898,丁墨,5.00,百花洲文艺出版社,曼新图书专营店,婚礼之后，穆弦送了华遥一份特别的生日礼物——带她回地球度蜜月。而当两人在地球如胶似漆时，斯坦星传来消息，要穆弦回去指挥战斗，独留华遥一个人。就在这时，惊变突生，华遥竟沦为斯坦皇帝陛下的监下囚，即日执行死刑穆弦披荆斩棘赶来，却看到了华遥的真面目，原来她竟不是地球人……斯坦星发生毁灭性灾难，的解决办法，却是穆弦以精神力，拯救星球。华遥拼死保护他，却只能看着他死去……终于，华遥想尽办法，令时光流转，她重生于穆弦死之前，两人道尽相思，同时齐心协力，只为挽救斯坦星的命运……
青春爱情文学,独家宠爱 总攻大人 江苏文艺出版社,总攻大人,4.93,江苏文艺出版社,中领文轩图书专营店,"所谓银行家，就是晴天把伞硬塞给你，下雨天又狠狠收回去的人。 一场扑朔迷离的""出轨""绯闻，将从美国华尔街归来的金融大鳄邓雅淳与失婚大提琴家封絮拉到了一起。 第一眼，他给她的感觉就像法国大餐，精致、完美，处处透着奢华。 他应该是松露、鹅肝和鱼子酱的完美结合。 而她则像是苹果白兰地，让他初品时只觉微辣，呛过后又觉微甜。 他想再品一口，回味那种留在齿颊的清甜。 ""邓雅淳，我想问问你，银行家的日常是什么？"" ""数钱？"" ""不，不够详细。"" ""难不成是在瑞士某个疗养院的躺椅上看夕阳吗？"" ""我觉得躺在躺椅上看夕阳是精神病院才有的日常。"" ""那是半身不遂的老年人的日常。"" 一场因""丑闻""而产生的悬殊爱情，但他许下承诺，会给她无以伦比的独家宠爱。 ""无关地位，无关他人，只因我爱你，就要和你在一起，这是我对你的执着，从开始"
青春爱情文学,独家宠爱总攻大人江苏文艺出版社9787539973166,总攻大人,4.80,江苏文艺出版社,丽德图书专营店,"所谓银行家，就是晴天把伞硬塞给你，下雨天又狠狠收回去的人。 一场扑朔迷离的""出轨""绯闻，将从美国华尔街归来的金融大鳄邓雅淳与失婚大提琴家封絮拉到了一起。 第一眼，他给她的感觉就像法国大餐，精致、完美，处处透着奢华。 他应该是松露、鹅肝和鱼子酱的完美结合。 而她则像是苹果白兰地，让他初品时只觉微辣，呛过后又觉微甜。 他想再品一口，回味那种留在齿颊的清甜。 ""邓雅淳，我想问问你，银行家的日常是什么？"" ""数钱？"" ""不，不够详细。"" ""难不成是在瑞士某个疗养院的躺椅上看夕阳吗？"" ""我觉得躺在躺椅上看夕阳是精神病院才有的日常。"" ""那是半身不遂的老年人的日常。"" 一场因""丑闻""而产生的悬殊爱情，但他许下承诺，会给她无以伦比的宠爱。 ""无关地位，无关他人，只因我爱你，就要和你在一起，这是我对你的执着，从开始到永"
青春爱情文学,独家记忆木浮生 著百花洲文艺出版社9787550019782,木浮生,4.80,百花洲文艺出版社,丽德图书专营店,初见时，她是考生，他是巡考员，因一场乌龙的作弊案，她被他抓了个正着； 再见时，她是课代表，他是代课教师，因一个发不出的弹音，她被他留下单独辅导。 从此，“慕承和”三个字，成为她平淡无奇生活的转折点。 原以为他是她的意外惊喜， 殊不知她才是他灰暗生活里的一抹亮色。 “你知道我为什么叫你Роза？” “玫瑰？” 保加利亚的粉玫瑰，层层叠叠，含苞待放，代表着初恋，还代表着喜欢你那灿烂的笑脸。 有没有那么一个人，在你的生命中，他的一颦一笑、一字一句都是那么特别？ 他当过你的老师。 他曾经是你的偶像。 他也被同行敬仰过。 可是有一天，他的身份仅仅是yourman。
青春爱情文学,独家占有Ⅱ丁墨 著百花洲文艺出版社9787550006898,丁墨,4.80,百花洲文艺出版社,丽德图书专营店,婚礼之后，穆弦送了华遥一份特别的生日礼物——带她回地球度蜜月。而当两人在地球如胶似漆时，斯坦星传来消息，要穆弦回去指挥战斗，独留华遥一个人。就在这时，惊变突生，华遥竟沦为斯坦皇帝陛下的监下囚，即日执行死刑穆弦披荆斩棘赶来，却看到了华遥的真面目，原来她竟不是地球人……斯坦星发生毁灭性灾难，的解决办法，却是穆弦以精神力，拯救星球。华遥拼死保护他，却只能看着他死去……终于，华遥想尽办法，令时光流转，她重生于穆弦死之前，两人道尽相思，同时齐心协力，只为挽救斯坦星的命运……
青春爱情文学,独家专宠岁正 著贵州人民出版社9787221120878,岁正,5.00,贵州人民出版社,聚赢科技图书专营店,暂无简介
青春爱情文学,独家占有Ⅰ丁墨 著三秦出版社9787551806831,丁墨,5.00,三秦出版社,曼新图书专营店,单纯善良的地球女孩华遥，某一天被外星王子穆弦掳走，成为他的未婚妻。华遥并不喜欢这个强势英俊的青年军人，但具有兽族血统的穆弦，对爱情和婚姻绝对忠贞，非她不娶。两人在战争中逐渐磨合，彼此了解，华遥也慢慢接受了穆弦。这时她也知道，穆弦并非随意从地球掳走一个女孩，而是在年少时便对她一见钟情……两人婚礼前夕，雇佣军战争爆发，两人与死对头雇佣军指挥官易浦城一起跌入某颗荒芜小行星，然后随着三人在行星上斗智斗勇，却发觉这颗行星的真相，并非如他们所想……
